Date,Open,High,Low,Close ,Adj Close ,Volume
28-Aug-23,108.45,110.04,108.44,109.16,103.68,"10,382,100"
25-Aug-23,107.43,108.93,106.62,108.25,102.81,"13,579,300"
24-Aug-23,106.42,107.77,106.07,106.35,101.01,"10,818,500"
23-Aug-23,107.04,107.3,105.72,107.15,101.77,"11,435,600"
22-Aug-23,109.17,109.72,107.95,108.1,102.67,"10,520,800"
21-Aug-23,110.36,110.98,108.14,108.71,103.25,"11,092,400"
18-Aug-23,107.64,110.2,107.62,110.04,104.51,"16,218,400"
17-Aug-23,107.42,110.15,107.42,108.4,102.95,"16,709,500"
16-Aug-23,108.28,109.33,106.28,106.34,101,"13,695,100"
15-Aug-23,110.75,110.86,107.97,108.16,102.73,"14,909,600"
14-Aug-23,111.68,111.98,110.78,111.92,105.43,"12,973,400"
11-Aug-23,110.37,112.07,110.05,111.83,105.35,"14,043,700"
10-Aug-23,110.19,111.63,109.44,110.12,103.74,"15,837,200"
9-Aug-23,108.71,110.42,108.31,109.56,103.21,"19,919,600"
8-Aug-23,106.04,107.75,104.84,107.73,101.49,"14,065,600"
7-Aug-23,107.9,108.42,106.51,107.2,100.99,"12,410,800"
4-Aug-23,107.96,109.24,107.33,107.42,101.19,"14,275,700"
3-Aug-23,105.89,107.88,105.3,107.12,100.91,"16,280,400"
2-Aug-23,106.26,106.38,104.57,105.29,99.19,"13,484,100"
1-Aug-23,106.95,107.32,105.53,106.62,100.44,"14,177,400"
31-Jul-23,105.19,107.86,105.19,107.24,101.02,"24,197,000"
28-Jul-23,105.11,105.16,102.32,104.16,98.12,"17,566,400"
27-Jul-23,106,106.99,104.74,105.42,99.31,"17,677,900"
26-Jul-23,105.11,105.72,104.64,105.09,99,"15,159,600"
25-Jul-23,105.06,106.09,104.54,105.68,99.55,"14,116,100"
24-Jul-23,104.36,106.16,103.96,105.52,99.4,"15,090,900"
21-Jul-23,104.16,104.38,103.26,103.89,97.87,"17,099,600"
20-Jul-23,102.54,103.66,102.36,103.41,97.42,"15,740,200"
19-Jul-23,101.05,102.4,100.8,101.62,95.73,"15,556,500"
18-Jul-23,100.92,102.2,100.34,100.92,95.07,"24,617,800"
