Date,Close/Last,Volume,Open,High,Low,,,,,,,,,
9/22/22,$154.89 ,6981135,$157.60 ,$158.28 ,$154.74 ,,,,,,,,,
9/21/22,$155.01 ,6876977,$158.31 ,$158.78 ,$154.95 ,,,,,,,,,
9/20/22,$156.28 ,8955194,$156.04 ,$156.85 ,$154.34 ,,,,,,,,,
9/19/22,$156.90 ,6813836,$152.93 ,$156.95 ,$152.80 ,,,,,,,,,
9/16/22,$156.45 ,43741590,$160.52 ,$161.14 ,$155.61 ,,,,,,,,,
9/15/22,$160.62 ,9664953,$160.68 ,$161.70 ,$159.58 ,,,,,,,,,
9/14/22,$163.27 ,11160780,$160.94 ,$163.57 ,$160.35 ,,,,,,,,,
9/13/22,$159.41 ,10308250,$161.41 ,$162.66 ,$158.74 ,,,,,,,,,
9/12/22,$162.50 ,8920774,$162.81 ,$164.53 ,$161.25 ,,,,,,,,,
9/9/22,$159.97 ,8262324,$158.41 ,$160.65 ,$157.53 ,,,,,,,,,
9/8/22,$155.95 ,9232512,$155.59 ,$156.38 ,$153.38 ,,,,,,,,,
9/7/22,$155.11 ,9442085,$154.06 ,$155.82 ,$152.62 ,,,,,,,,,
9/6/22,$157.12 ,8550015,$159.89 ,$159.99 ,$155.71 ,,,,,,,,,
9/2/22,$157.85 ,7526632,$158.24 ,$159.13 ,$156.72 ,,,,,,,,,
9/1/22,$155.54 ,8244374,$156.48 ,$156.88 ,$153.23 ,,,,,,,,,
8/31/22,$158.06 ,13582720,$157.61 ,$161.41 ,$156.15 ,,,,,,,,,
8/30/22,$160.62 ,8814325,$162.32 ,$162.56 ,$158.76 ,,,,,,,,,
8/29/22,$164.63 ,8462554,$163.89 ,$166.83 ,$163.64 ,,,,,,,,,
8/26/22,$163.41 ,7765789,$164.18 ,$166.13 ,$162.46 ,,,,,,,,,
8/25/22,$164.62 ,8050712,$163.92 ,$164.90 ,$162.61 ,,,,,,,,,
8/24/22,$163.19 ,9468086,$161.66 ,$163.35 ,$160.67 ,,,,,,,,,
8/23/22,$161.99 ,10354810,$159.10 ,$162.34 ,$158.71 ,,,,,,,,,
8/22/22,$156.90 ,9146956,$156.69 ,$157.74 ,$154.42 ,,,,,,,,,
8/19/22,$157.69 ,6834151,$158.46 ,$159.74 ,$157.62 ,,,,,,,,,
8/18/22,$159.02 ,6477525,$157.15 ,$159.66 ,$157.09 ,,,,,,,,,
8/17/22,$157.70 ,6741052,$156.63 ,$159.34 ,$155.51 ,,,,,,,,,
8/16/22,$156.41 ,7218400,$157.41 ,$157.92 ,$155.82 ,,,,,,,,,
8/15/22,$156.81 ,8975241,$155.18 ,$157.79 ,$153.44 ,,,,,,,,,
8/12/22,$159.85 ,7244736,$158.25 ,$159.91 ,$157.14 ,,,,,,,,,
8/11/22,$159.62 ,7888554,$158.11 ,$161.16 ,$157.62 ,,,,,,,,,
8/10/22,$155.82 ,6145793,$156.00 ,$156.47 ,$152.93 ,,,,,,,,,
8/9/22,$155.41 ,5842157,$155.94 ,$157.80 ,$154.60 ,,,,,,,,,
8/8/22,$153.41 ,5971746,$153.59 ,$154.98 ,$153.15 ,,,,,,,,,
8/5/22,$153.64 ,7170150,$149.64 ,$155.01 ,$149.02 ,,,,,,,,,
8/4/22,$151.14 ,10640040,$155.32 ,$155.44 ,$150.73 ,,,,,,,,,
8/3/22,$155.36 ,8751360,$159.31 ,$159.96 ,$154.35 ,,,,,,,,,
8/2/22,$159.14 ,5928321,$160.89 ,$161.47 ,$158.30 ,,,,,,,,,
8/1/22,$160.51 ,8017771,$161.18 ,$161.86 ,$159.15 ,,,,,,,,,
7/29/22,$163.78 ,17143670,$156.55 ,$164.66 ,$155.90 ,,,,,,,,,
7/28/22,$150.39 ,6574257,$150.69 ,$151.47 ,$148.03 ,,,,,,,,,
7/27/22,$149.26 ,6223030,$148.34 ,$150.20 ,$146.66 ,,,,,,,,,
7/26/22,$147.32 ,6112846,$149.50 ,$150.68 ,$146.53 ,,,,,,,,,
7/25/22,$148.48 ,6210859,$145.70 ,$148.61 ,$144.18 ,,,,,,,,,
7/22/22,$144.19 ,5889480,$145.56 ,$146.30 ,$143.42 ,,,,,,,,,
7/21/22,$145.40 ,6724233,$143.12 ,$145.47 ,$141.50 ,,,,,,,,,
7/20/22,$146.52 ,7856587,$144.50 ,$147.26 ,$143.32 ,,,,,,,,,
7/19/22,$144.61 ,9152131,$139.69 ,$145.01 ,$139.42 ,,,,,,,,,
7/18/22,$139.58 ,7943901,$140.56 ,$142.14 ,$139.08 ,,,,,,,,,
7/15/22,$137.65 ,7051940,$138.96 ,$138.96 ,$136.43 ,,,,,,,,,
7/14/22,$135.94 ,10150200,$134.31 ,$136.16 ,$132.54 ,,,,,,,,,
